"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
15,"Bagre",714,214,5,4120,975,7,NA,8220,285,NA,1501105,4397.321,31892,7.25,"82.7","0.471","21.62",129890031.99,131436927.2,7837.69,"PA"
16,"Baião",82078,319,1572,2332,253,950,1500,81000,5000,NA,1501204,3759.834,51641,13.73,"91.4","0.578","22.3",158720435.08,163740485,11367.06,"PA"
17,"Bannach",275423,230,2295,1221,189,140,753,12880,1481,NA,1501253,2956.649,4031,1.36,"95.2","0.594","-",40793713.06,36296311.57,39829.41,"PA"
18,"Barcarena",700,75,60,6500,650,7,58,15300,1500,NA,1501303,1310.338,126650,96.65,"97.3","0.662","13.12",852467794.24,790336364.5,71473.92,"PA"
19,"Belém",5964,1002,436,12172,872,191,629,1854300,90200,NA,1501402,1059.466,1303403,1230.25,"96.1","0.746","14.81",4537008278.34,4194671693,22216.33,"PA"
20,"Belterra",21927,39,347,1136,164,51,1023,1161587,9461,NA,1501451,4398.418,18099,4.11,"96.6","0.588","11.4",93519155.32,85599084.21,13218.69,"PA"
21,"Benevides",2087,19,116,510,59,16,95,1600000,5000,NA,1501501,187.826,63567,338.44,"97.4","0.665","11.63",264286094.55,251358374.2,30668.86,"PA"
22,"Bom Jesus do Tocantins",245000,45,3990,3500,1380,146,3391,8750,6000,NA,1501576,2816.604,18005,6.39,"94.8","0.589","8.4",94244962.19,88054011.93,14134.87,"PA"
23,"Bonito",13177,29,267,427,38,NA,149,9770,2085,NA,1501600,586.976,12622,21.5,"95","0.546","10.05",57261286.83,43944629.21,12325.25,"PA"
24,"Bragança",45630,326,1860,4290,235,164,640,1153000,12800,NA,1501709,2124.734,123082,57.93,"96.1","0.6","11.59",387550887.14,435071231.8,10679,"PA"
25,"Brasil Novo",308639,51,7838,8633,685,425,3338,62450,8510,NA,1501725,6362.575,24718,3.88,"93.4","0.613","3.29",103691636.53,95943363.42,25519.93,"PA"
26,"Brejo Grande do Araguaia",135000,10,2300,3095,519,269,2253,21500,3330,NA,1501758,1288.477,6783,5.26,"94.6","0.591","9.26",50646367.36,48655882,15643.39,"PA"
27,"Breu Branco",200577,149,4463,6017,233,524,3413,112600,9295,NA,1501782,3941.904,45712,11.6,"96","0.568","1.56",219403678.93,208368175.2,11579.35,"PA"
28,"Breves",920,182,16,6267,1020,12,62,70120,1400,NA,1501808,9566.572,106968,11.18,"90.2","0.503","15.77",449513276.9,433303912.9,8572.43,"PA"
29,"Bujaru",5939,565,129,301,10,2,175,11000,5500,NA,1501907,994.691,24383,24.51,"91.9","0.552","17.77",132166973.97,135310828,18061.39,"PA"
30,"Cachoeira do Arari",46100,55800,6750,11200,1940,1680,1930,4300,3980,NA,1502004,3100.261,23981,7.74,"92.2","0.546","18.69",84529712.14,80991039.05,10504.21,"PA"
31,"Cachoeira do Piriá",55189,145,1925,1280,90,466,1016,29100,2340,NA,1501956,2419.6,19630,8.11,"89.5","0.473","3.18",108921509.27,98345256.12,6447.28,"PA"
32,"Cametá",99270,1107,2137,88604,7445,1699,1855,416400,54650,NA,1502103,3081.367,134184,43.55,"96.7","0.577","17.17",464422650.7,552454869.6,9897.38,"PA"
33,"Canaã dos Carajás",228000,50,3800,1460,530,12,325,35000,4270,NA,1502152,3146.821,77079,24.49,"97.8","0.673","10.16",1969905080.42,1990282766,894806.28,"PA"
34,"Capanema",28231,1225,738,1612,55,205,725,12870,3751,600,1502202,621.483,70394,113.27,"97.5","0.655","10.24",222371900.19,228822751.8,20438,"PA"
35,"Capitão Poço",116727,87,3271,4343,243,1204,2321,16337,5440,NA,1502301,2901.026,56506,19.48,"95.8","0.548","16.59",177470821.01,185613638.6,11289.26,"PA"
36,"Castanhal",98144,1074,2316,12297,766,448,2563,13001000,966000,NA,1502400,1029.3,192256,186.78,"95.4","0.673","13.84",727027195.11,798008550.5,22897.75,"PA"
37,"Chaves",67456,237228,28251,24071,3852,6228,7360,6897,1241,NA,1502509,12534.995,20757,1.66,"79.7","0.453","16.62",114548069.32,120634183.6,10269.71,"PA"
38,"Colares",1002,8,42,40,2,18,60,2900,90,NA,1502608,384.068,12868,33.5,"98.6","0.602","-",52717435.16,49844231.32,8293.17,"PA"
39,"Conceição do Araguaia",1833846,1241,25192,28536,3701,311,3409,181616,23659,NA,1502707,5829.482,44617,7.65,"95.7","0.64","15.45",222645538.24,206233721.6,13775.85,"PA"
40,"Concórdia do Pará",14955,4,202,106,17,369,399,2200,1700,NA,1502756,700.59,26881,38.37,"97","0.566","11.95",145745356.8,144311630.4,12274.67,"PA"
41,"Cumaru do Norte",690442,195,4774,1458,183,NA,495,15470,1856,NA,1502764,17085.001,14036,0.82,"85.3","0.55","42.55",96820640.69,99190911.11,28975.18,"PA"
42,"Curionópolis",262700,120,3620,1800,520,415,1679,25000,3040,NA,1502772,2369.096,19950,8.42,"97.4","0.636","13.59",213097755.07,237633679.8,206447.92,"PA"
43,"Curralinho",45,94,4,4040,980,13,12,5450,1125,NA,1502806,3617.252,33903,9.37,"93.8","0.502","22.03",186243709.47,192090802.2,7951.38,"PA"
44,"Curuá",49181,379,2239,816,118,432,1082,18308,3111,NA,1502855,1431.134,14117,9.86,"97.3","0.578","14.29",58575896.13,56675361.41,10132.44,"PA"
45,"Curuçá",2980,NA,45,180,40,22,77,464070,28000,NA,1502905,676.322,41262,61.01,"97","0.582","14.46",146923516.21,141795981.6,8998.53,"PA"
46,"Dom Eliseu",88704,134,2808,10497,1200,160,2448,196743,155224,NA,1502939,5268.809,58484,11.1,"95.7","0.615","4.72",217547986.17,211039822.7,15367.96,"PA"
