"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
105,"Praia Norte",27009,NA,980,1523,380,79,641,4735,2601,NA,1718303,300.999,9044,30.05,96.8,0.583,"-",43147610.98,41250444.14,10876.87,"TO"
106,"Presidente Kennedy",51614,133,807,639,319,32,92,5165,5165,NA,1718402,771.716,3047,3.95,98.6,0.669,"-",27777552.33,23540271.33,17765.89,"TO"
107,"Pugmil",20134,NA,466,789,78,NA,192,71000,1510,NA,1718451,401.174,2193,5.47,97.5,0.669,"-",25308735.85,27799489.01,30103.17,"TO"
108,"Recursolândia",81254,NA,1070,1690,595,30,463,12678,8000,NA,1718501,2215.669,3421,1.54,91.7,0.5,"-",26511418.34,25230700.32,20842.97,"TO"
109,"Riachinho",42386,NA,1203,533,21,44,149,15343,12343,NA,1718550,512.156,3960,7.73,98.2,0.572,"-",32227238.19,27256481.02,14511.21,"TO"
110,"Rio da Conceição",2284,NA,3,23,18,NA,NA,470,380,NA,1718659,845.823,1768,2.09,98.5,0.608,"-",26045561.45,23369393.41,13180.67,"TO"
111,"Rio dos Bois",20091,NA,332,505,110,20,155,4683,1491,NA,1718709,847.255,2738,3.23,98.1,0.616,"-",26172352.17,24548589.04,29846.56,"TO"
112,"Rio Sono",79499,99,2046,2666,821,263,787,22657,8251,NA,1718758,6346.279,4841,0.76,96.1,0.6,"15.87",32110384.73,33706506.68,17150.42,"TO"
113,"Sampaio",13904,48,375,518,220,NA,155,4287,3513,NA,1718808,222.435,4215,18.95,98.4,0.606,"12.2",33519277.54,27655086.04,29914.52,"TO"
114,"Sandolândia",203560,91,2458,1620,447,118,907,8795,4397,NA,1718840,3535.135,3723,1.05,98.7,0.659,"15.87",33620102.24,29426957.28,34629.51,"TO"
115,"Santa Fé do Araguaia",124552,214,1580,494,148,8,1184,52773,5605,NA,1718865,1671.239,7216,4.32,92.4,0.616,"8.26",41402286.76,35338939.09,22913.12,"TO"
116,"Santa Maria do Tocantins",36691,NA,775,971,97,180,704,8068,6579,NA,1718881,1412.318,2680,1.9,98,0.634,"-",25914037.13,22486423.12,39477.03,"TO"
117,"Santa Rita do Tocantins",112198,NA,1408,1333,400,16,322,76859,7300,NA,1718899,3281.219,2219,0.68,94.9,0.651,"-",36042187.61,30592603.55,74895.13,"TO"
118,"Santa Rosa do Tocantins",38807,NA,923,1183,414,51,96,12906,5807,NA,1718907,1804.687,4653,2.58,97,0.595,"27.4",42237274.68,37848894.19,63257.61,"TO"
119,"Santa Tereza do Tocantins",29208,8,773,954,290,201,610,8332,3499,NA,1719004,539.511,2781,5.15,97,0.662,"20",20535808.13,20337575.64,16427.06,"TO"
120,"Santa Terezinha do Tocantins",23639,427,310,365,23,4,111,253359,3301,NA,1720002,274.104,2406,8.78,98.4,0.637,"28.57",23101454.75,21161657.76,16573.51,"TO"
121,"São Bento do Tocantins",42313,NA,820,917,44,64,618,13422,10232,NA,1720101,1099.58,5654,5.14,96.5,0.605,"-",41852233.76,40168841.36,13485.35,"TO"
122,"São Félix do Tocantins",4442,NA,296,311,93,26,15,4415,1677,NA,1720150,1913.11,1783,0.93,94,0.574,"-",17738683.44,17811041.31,22696.11,"TO"
123,"São Miguel do Tocantins",26796,NA,958,174,29,24,441,2074,691,NA,1720200,406.957,13241,32.54,98.9,0.623,"6.9",64085879.83,59954129.24,20555.57,"TO"
124,"São Salvador do Tocantins",47160,NA,653,730,200,25,254,7204,3602,NA,1720259,1424.753,2385,1.67,98.9,0.605,"-",31177915.17,28437239.2,15926.43,"TO"
125,"São Sebastião do Tocantins",26027,NA,680,305,63,19,96,2901,1160,NA,1720309,289.597,4100,14.16,96.6,0.573,"16.13",31846767.07,29000884.86,12618.29,"TO"
126,"São Valério",71680,NA,1101,1239,250,43,264,10296,5148,NA,1720499,2520.465,4422,1.75,96.2,0.643,"18.87",33091846.92,29165449.82,40731.32,"TO"
127,"Silvanópolis",42908,40,587,1036,335,55,449,5940,2494,NA,1720655,1258.771,5108,4.06,97.5,0.675,"26.32",40008094.44,37394902.71,44080.81,"TO"
128,"Sítio Novo do Tocantins",50214,NA,1420,127,38,19,96,2901,2231,NA,1720804,307.095,10830,35.27,95.8,0.604,"15.75",66740786.26,62831606.39,14820.08,"TO"
129,"Sucupira",64258,47,838,682,151,NA,591,4700,2350,NA,1720853,1018.222,1577,1.55,98,0.667,"-",25462047.29,21936580.79,265258.58,"TO"
130,"Tabocão",66056,NA,801,541,300,5,321,3841,2200,NA,1708254,624.463,3455,5.53,97.2,0.659,"-",30819841.43,28921063.84,89062.14,"TO"
131,"Taguatinga",150942,3,735,2339,800,108,769,24501,13980,NA,1720903,2341.919,14011,5.98,96.6,0.634,"5.71",70566996.84,64616681.58,18758.26,"TO"
132,"Taipas do Tocantins",35748,NA,576,215,134,115,308,1507,995,NA,1720937,1105.303,2021,1.83,94.2,0.601,"35.71",26294582.7,21814038.38,16145.79,"TO"
133,"Talismã",127521,NA,1423,1217,282,34,593,7764,3883,NA,1720978,2155.503,2456,1.14,93.5,0.654,"35.71",35027319.22,32816911.57,51821.96,"TO"
134,"Tocantínia",19662,3,527,802,255,NA,286,8783,2789,NA,1721109,2609.775,7459,2.86,85.7,0.589,"5.88",43706532.59,39082189.41,24892.41,"TO"
135,"Tocantinópolis",26804,NA,409,451,82,41,229,410324,3558,NA,1721208,1083.6,22615,20.87,98.8,0.681,"15.11",107109650.19,97636499.01,16329.62,"TO"
136,"Tupirama",24981,NA,255,461,300,NA,113,3412,2300,NA,1721257,706.883,1909,2.7,98.9,0.67,"-",20240678.06,20189541.96,60880.42,"TO"
137,"Tupiratins",19234,NA,409,774,386,6,184,7441,6312,55,1721307,889.126,1874,2.11,96.4,0.587,"-",25603389.6,22298817.73,13866.63,"TO"
138,"Wanderlândia",52931,103,893,922,276,92,922,160554,4222,NA,1722081,1365.431,10522,7.71,96,0.638,"16.67",42914814.35,40032608.19,15566.87,"TO"
139,"Xambioá",101997,25,1480,1303,390,125,1395,13404,6702,NA,1722107,1190.489,10517,8.83,95.9,0.671,"6.41",60646308.01,51995198.82,40958.25,"TO"
