"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
505,"Salmourão",13950,25,230,183,40,20,100,1700,690,NA,3545100,172.934,4808,27.8,98.3,0.719,"22.73",32744327.14,30783319.93,18037.04,"SP"
506,"Saltinho",6663,33,101,197,51,40,129,611750,4995,NA,3545159,99.738,8161,81.82,96.8,0.791,"-",55699979.2,55285034.16,44465.92,"SP"
507,"Salto",3760,NA,340,90,18,NA,38,2e+05,1900,NA,3545209,133.057,134319,1009.48,98.4,0.78,"13.15",663406583.94,710435597.5,77029.01,"SP"
508,"Salto de Pirapora",7300,210,1244,346,NA,172,475,957,NA,NA,3545308,280.412,43748,156.01,98.6,0.729,"22.73",255301721.73,252577624.2,47995.61,"SP"
509,"Salto Grande",4250,NA,180,4500,730,160,20,7000,5000,NA,3545407,188.441,9050,48.03,96.5,0.704,"11.36",62516358,53561739.5,29155.3,"SP"
510,"Sandovalina",21812,123,665,370,98,42,410,6300,1680,NA,3545506,455.856,3645,8,98.2,0.709,"21.28",60669366.91,55196573.69,72374.52,"SP"
511,"Santa Adélia",3670,30,115,450,72,15,120,375000,4400,NA,3545605,330.269,14018,42.44,100,0.76,"13.07",84457761.84,81723434.92,24461,"SP"
512,"Santa Albertina",24810,NA,450,1208,244,NA,380,5711,2617,NA,3545704,272.692,6393,23.44,98.8,0.728,"-",51469926,53100621.07,35584.96,"SP"
513,"Santa Bárbara d'Oeste",1735,NA,196,275,24,NA,105,445000,1995,NA,3545803,271.03,183347,676.48,98.4,0.781,"12.97",868742227.54,869946422.7,40073.67,"SP"
514,"Santa Branca",11150,NA,680,180,40,NA,250,1000,300,NA,3546009,272.238,13975,51.33,98.8,0.735,"-",89034166.37,87987531.68,20959.37,"SP"
515,"Santa Clara d'Oeste",18480,NA,240,430,90,NA,400,2810,790,NA,3546108,183.458,2598,14.16,98.5,0.733,"-",39492119.15,35360595.35,45847.14,"SP"
516,"Santa Cruz da Conceição",7330,56,140,NA,NA,NA,400,187000,50000,NA,3546207,150.13,4277,28.49,99.6,0.79,"33.33",43312491.23,40708712.48,35264.11,"SP"
517,"Santa Cruz da Esperança",1600,NA,120,350,70,NA,40,2000,500,50,3546256,148.062,2116,14.29,86.2,0.743,"-",30377214.46,29077340.54,29296.72,"SP"
518,"Santa Cruz das Palmeiras",1290,NA,100,200,35,15,30,22000,NA,NA,3546306,295.337,28864,97.73,97.3,0.728,"14.66",134608174.41,129958676.6,18687.66,"SP"
519,"Santa Cruz do Rio Pardo",46000,28,800,15800,1500,100,3600,8500,1400,NA,3546405,1114.747,46442,41.66,96.3,0.762,"10.05",292864094.54,290270525,57811.23,"SP"
520,"Santa Ernestina",391,NA,21,167,18,NA,20,942,276,NA,3546504,134.421,6118,45.51,99.2,0.738,"14.08",37686736.1,34897107.13,18714.85,"SP"
521,"Santa Fé do Sul",26897,NA,600,2250,390,NA,480,8370,3350,NA,3546603,206.537,34794,168.46,97.9,0.784,"2.54",318634406.3,305346331.6,41007.46,"SP"
522,"Santa Gertrudes",546,NA,123,53,6,31,61,485,222,NA,3546702,98.291,23611,240.22,98.3,0.737,"-",247034652.17,218975592.6,139885.74,"SP"
523,"Santa Isabel",6500,11,980,35,5,60,340,1580,1508,NA,3546801,363.332,53174,146.35,97.8,0.738,"11.57",263343627.83,259972054.7,28340.36,"SP"
524,"Santa Lúcia",474,NA,65,295,77,45,45,144000,7000,NA,3546900,153.86,7149,46.46,98.6,0.737,"-",42525451.98,39537840.53,14751.7,"SP"
525,"Santa Maria da Serra",12489,61,277,219,69,45,249,244700,NA,NA,3547007,252.621,5243,20.75,97.5,0.686,"-",40180667.4,34805147.35,24297.18,"SP"
526,"Santa Mercedes",9000,NA,190,165,35,98,108,1580,740,NA,3547106,166.753,2956,17.73,98.8,0.739,"32.26",34680181.52,29422440.77,23436.56,"SP"
527,"Santa Rita d'Oeste",20905,NA,300,595,120,NA,305,9412,3589,NA,3547403,209.8,2733,13.03,100,0.761,"-",32433668.62,28878285.62,27518.08,"SP"
528,"Santa Rita do Passa Quatro",23450,250,1070,500,75,30,300,687000,3000,3200,3547502,754.141,24833,32.93,97.8,0.775,"9.26",152654397.45,165965721.4,29877.17,"SP"
529,"Santa Rosa de Viterbo",8900,NA,600,500,50,80,210,190000,7200,NA,3547601,288.576,23411,81.13,97.9,0.77,"18.69",128764427.69,119518116.8,30914.1,"SP"
530,"Santa Salete",11305,NA,220,470,126,NA,185,4790,860,NA,3547650,79.192,1645,20.77,100,0.772,"-",25175295.87,23077859.86,27025.83,"SP"
531,"Santana da Ponte Pensa",18970,NA,280,642,115,NA,200,2640,1573,NA,3547205,129.888,1670,12.86,100,0.773,"-",29712226.62,23950725.58,27564.35,"SP"
532,"Santana de Parnaíba",1200,NA,200,450,200,75,150,3200,2150,NA,3547304,179.949,154105,856.38,97.3,0.814,"8.54",1669059966,1560953833,79579.96,"SP"
533,"Santo Anastácio",82481,16,1176,890,358,104,880,7800,3050,NA,3547700,552.876,17963,32.49,98.5,0.753,"16.3",91406771.49,86582667.43,26650.73,"SP"
534,"Santo André",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3547809,175.782,748919,4260.5,97.4,0.815,"10.23",3772410695.71,4141598594,45062.56,"SP"
535,"Santo Antônio da Alegria",23000,12,660,2000,300,100,340,140000,NA,NA,3547908,310.311,6775,21.83,97.5,0.702,"-",48568322.04,47625640.41,30114.17,"SP"
536,"Santo Antônio de Posse",4422,21,2630,1700,645,2000,2270,185600,25900,12000,3548005,154.133,23244,150.8,97.3,0.702,"10.71",174791356.94,177533693.6,78794.3,"SP"
537,"Santo Antônio do Aracanguá",95603,298,1480,1890,590,190,1400,183800,137150,NA,3548054,1308.432,8379,6.4,98.9,0.757,"29.85",83836705.15,79235083.06,33916.19,"SP"
538,"Santo Antônio do Jardim",5800,NA,255,680,70,12,280,7e+05,135000,NA,3548104,109.956,6126,55.71,97,0.714,"35.71",38509816.16,39772097,37602.53,"SP"
539,"Santo Antônio do Pinhal",3971,76,451,361,61,71,82,2400,1425,NA,3548203,133.008,7133,53.63,98.3,0.706,"24.1",55054801.67,58748836.96,21690.65,"SP"
540,"Santo Expedito",13091,12,205,250,82,55,100,5500,2300,NA,3548302,94.465,3000,31.76,99.1,0.732,"-",26446313.6,23497457.63,14964.67,"SP"
541,"Santópolis do Aguapeí",7064,NA,158,79,15,21,161,321,133,NA,3548401,128.026,3899,30.45,98.6,0.74,"21.28",36722740.91,33527675.37,16609.02,"SP"
542,"São Bento do Sapucaí",12489,NA,2210,875,228,65,362,2700,1700,NA,3548609,252.579,11674,46.22,98.5,0.72,"-",66448190.38,68036068.39,37283.14,"SP"
543,"São Bernardo do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3548708,409.532,810729,1979.65,97.6,0.805,"8.97",6047597531.7,6038379292,68571.36,"SP"
544,"São Caetano do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3548807,15.331,165655,10805.23,97.4,0.862,"10.81",2344581626.89,2320378464,95640.71,"SP"
545,"São Carlos",103050,1580,3110,15040,2287,455,3540,5469000,1610500,NA,3548906,1136.907,254857,224.17,97.9,0.805,"13.04",1420885276.43,1413050783,55044.88,"SP"
546,"São Francisco",13203,NA,225,550,130,43,78,3980,443,NA,3549003,75.579,2602,34.43,100,0.723,"-",27943826.16,27328745.68,18189.76,"SP"
547,"São João da Boa Vista",318700,1304,9955,57830,4630,1000,5942,11266500,530050,NA,3549102,516.399,92547,179.22,97.2,0.797,"5.42",561130548.83,599412792.9,44794.34,"SP"
548,"São João das Duas Pontes",10155,NA,210,182,93,15,286,1045,890,NA,3549201,129.462,2580,19.93,99.4,0.72,"-",29161009.52,28274017.91,20591.79,"SP"
549,"São João de Iracema",7660,NA,158,285,65,39,122,2950,750,NA,3549250,178.396,1846,10.35,98.1,0.748,"-",30974994.26,26629224.67,26507.78,"SP"
550,"São João do Pau d'Alho",3200,NA,150,440,56,NA,90,7600,5650,NA,3549300,117.665,2242,19.05,99.2,0.75,"-",28592321.45,26901417.26,27920.27,"SP"
551,"São Joaquim da Barra",62365,42,6480,12849,2050,498,5264,4457100,187441,2229,3549409,410.863,48558,118.19,96.7,0.762,"10.29",273572985.77,247466039.4,41547.41,"SP"
552,"São José da Bela Vista",5100,NA,190,1100,170,70,800,620000,NA,NA,3549508,276.952,7626,27.54,97.9,0.693,"13.33",48006983.65,43681137.26,25749.88,"SP"
553,"São José do Barreiro",14800,550,600,290,95,95,155,1350,620,NA,3549607,570.685,3853,6.75,95.5,0.684,"-",46891898.17,44629605.67,15297.56,"SP"
554,"São José do Rio Pardo",40000,130,1500,17520,2000,40,1000,2200000,32200,NA,3549706,419.684,52205,124.39,97.6,0.774,"20.45",273821911,278656045.1,42952.13,"SP"
555,"São José do Rio Preto",1956594,4110,43318,94937,20193,4275,50063,21895526,2812348,2495,3549805,431.944,480393,1112.17,98,0.797,"9.79",2890331804.01,2977382094,44679.93,"SP"
556,"São José dos Campos",256946,1550,8432,6378,651,1320,3283,399782,252591,NA,3549904,1099.409,697054,634.03,97.4,0.807,"10.41",4265105527.41,4495678137,61315.88,"SP"
557,"São Lourenço da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3549953,186.456,16067,86.17,97.2,0.728,"19.61",86006490.43,78122138.83,17697.76,"SP"
558,"São Luiz do Paraitinga",41739,530,1402,522,151,98,340,26100,9500,NA,3550001,617.315,10337,16.75,100,0.697,"9.52",65146020.04,62497505.73,19098.4,"SP"
559,"São Manuel",8935,41,500,4100,1350,NA,2050,1250000,957125,NA,3550100,650.734,37289,57.3,97.3,0.744,"7.11",202947806.94,209688723.6,32463.42,"SP"
560,"São Miguel Arcanjo",15333,4302,780,3030,301,106,581,80846,13626,NA,3550209,930.339,32039,34.44,95.9,0.71,"2.85",154362441.84,144680080.9,28853.83,"SP"
