"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
150,"Sítio Novo",1950,NA,420,750,200,1000,2000,5500,2000,NA,2413706,213.456,4654,21.8,99.4,0.572,"22.73",34474182.51,31859685.68,9604.36,"RN"
151,"Taboleiro Grande",2620,NA,150,795,65,600,2500,3000,1090,NA,2413805,124.093,2338,18.84,95.8,0.612,"-",26360220.04,24145376.67,12460.84,"RN"
152,"Taipu",17800,1540,750,2500,800,500,6000,170000,140000,NA,2413904,352.818,11422,32.37,95.5,0.569,"7.58",49164726.19,43202988.53,12603.48,"RN"
153,"Tangará",4700,NA,340,1400,520,1850,5900,7400,3400,NA,2414001,339.484,13281,39.12,98.1,0.608,"17.75",64017948.46,59478344.02,12605.26,"RN"
154,"Tenente Ananias",4800,NA,320,920,160,800,1930,4000,1380,NA,2414100,223.671,10262,45.88,95.1,0.592,"9.62",57244519.99,56963770.36,10398.97,"RN"
155,"Tenente Laurentino Cruz",2600,NA,420,3700,1120,600,480,15076,7544,NA,2414159,68.556,5891,85.93,98.1,0.623,"12.82",38192390.68,34744950.9,17631.19,"RN"
156,"Tibau",840,NA,95,778,405,1400,400,3280,2196,NA,2411056,169.365,5382,31.78,97.8,0.635,"14.49",79114036.7,76392890.11,27563.89,"RN"
157,"Tibau do Sul",1600,NA,320,55,35,100,650,650,300,NA,2414209,102.68,16929,164.87,95.7,0.645,"15.15",95771862.1,87092180.61,28299.48,"RN"
158,"Timbaúba dos Batistas",5200,NA,176,2600,728,2000,2350,23500,16450,500,2414308,135.456,2348,17.33,99.3,0.64,"-",28446912.15,23506852.45,17972.11,"RN"
159,"Touros",11458,NA,226,851,201,1145,949,10200,6500,NA,2414407,753.961,33035,43.82,99.2,0.572,"13.25",153918166.58,134039937.6,24167.89,"RN"
160,"Triunfo Potiguar",4819,NA,395,1415,515,3079,4010,5805,1358,NA,2414456,268.725,3376,12.56,97.8,0.602,"-",28493640.34,27266505.6,14344.56,"RN"
161,"Umarizal",45114,19,2396,18270,5630,22010,43494,137933,64900,NA,2414506,213.584,10078,47.19,97.3,0.618,"23.26",42726527.06,39303094.66,14421.3,"RN"
162,"Upanema",14400,NA,1000,3800,1050,14100,24000,50000,25000,NA,2414605,873.14,13577,15.55,98,0.596,"-",79464464.91,71059815.04,14337.24,"RN"
163,"Várzea",2300,NA,200,200,75,40,500,2600,850,NA,2414704,72.684,5233,72,97.8,0.626,"14.08",29513232.93,25239968.45,10229.06,"RN"
164,"Venha-Ver",3026,NA,180,3810,570,500,700,19200,6144,NA,2414753,71.621,3014,42.08,98.8,0.555,"-",31752580.76,25987792.76,10208.67,"RN"
165,"Vera Cruz",5119,NA,800,2190,560,NA,500,41010,7020,NA,2414803,84.127,10735,127.6,97.8,0.587,"-",65611931.24,64288808.87,10436.42,"RN"
166,"Viçosa",1530,NA,125,740,72,550,980,2120,810,NA,2414902,37.905,1822,48.07,99.2,0.592,"-",25425302.99,22682926.02,13425.15,"RN"
167,"Vila Flor",100,NA,70,80,50,NA,52,1100,850,NA,2415008,47.656,3174,66.6,99,0.576,"-",28522113.66,24331037.09,13802.94,"RN"
