"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
99,"Porto dos Gaúchos",98237,NA,1329,2010,290,236,2277,12560,6700,21,5106802,6846.668,5593,0.82,97.1,0.685,"-",83862686.9,76230504.36,246782.25,"MT"
100,"Porto Esperidião",663778,192,7485,4687,593,325,9837,40900,28449,NA,5106828,5835.278,10204,1.75,98.5,0.652,"11.83",86419662.59,76214701.1,25346.89,"MT"
101,"Porto Estrela",142757,NA,1678,1170,297,181,1427,11930,10904,21,5106851,2045.467,3224,1.58,93.1,0.599,"30.3",38893055.55,36282666.14,29907.24,"MT"
102,"Poxoréu",406047,108,7809,24491,4200,384,5600,1970000,1465000,1,5107008,6915.298,23283,3.37,94.3,0.678,"13.51",113850944.63,111623160.6,67630.15,"MT"
103,"Primavera do Leste",227992,52,3247,41414,4900,322,9288,7888000,6286877,155000,5107040,5470.383,85146,15.56,94.7,0.752,"11.23",21898231.09,24990901.38,109043.17,"MT"
104,"Querência",123089,32,1153,3394,369,151,2526,15762,8354,NA,5107065,17799.989,26769,1.5,91.1,0.692,"10.87",317501055.73,279777426,231667.59,"MT"
105,"Reserva do Cabaçal",61042,NA,1068,854,126,24,685,10420,6178,15,5107156,1331.677,2122,1.59,99.2,0.676,"-",30281751.42,28610025.25,17235.37,"MT"
106,"Ribeirão Cascalheira",327667,57,4216,4970,980,219,2928,21753,5874,NA,5107180,11354.555,10089,0.89,94.3,0.67,"-",81349900.63,76948847.92,72424.03,"MT"
107,"Ribeirãozinho",28425,115,584,1189,216,NA,174,6310,4583,23,5107198,624.997,2593,4.15,95.9,0.692,"62.5",36885106.88,32711118.48,77486.61,"MT"
108,"Rio Branco",69461,22,984,854,78,NA,753,7810,5527,NA,5107206,539.287,4535,8.41,97.8,0.707,"15.87",39335569.27,35714354,20830.42,"MT"
109,"Rondolândia",346374,37,1428,381,58,9,818,5786,4821,NA,5107578,12658.341,3505,0.28,96.8,0.64,"78.95",55253813.51,45764547,28110.57,"MT"
110,"Rondonópolis",1729101,2432,24601,129720,9334,1013,16240,136738,59825,357,5107602,4824.02,244911,50.77,98.4,0.755,"8.78",1666675926.41,1659953777,72181.58,"MT"
111,"Rosário Oeste",381323,304,7896,16708,1546,465,5909,103792,33702,41,5107701,7339.443,15453,2.11,96.5,0.65,"5.62",105003412.53,101812764.4,31476.72,"MT"
112,"Salto do Céu",214511,NA,2343,1618,218,23,1306,23520,13358,NA,5107750,1753.378,3679,2.1,99.2,0.666,"-",53275592.73,48834302.91,29237.92,"MT"
113,"Santa Carmem",29539,NA,337,1320,336,46,1769,7800,5500,17,5107248,3812.09,5374,1.41,98.7,0.715,"-",66011999.97,62357941.54,224418.59,"MT"
114,"Santa Cruz do Xingu",110380,6,976,1483,47,64,665,6275,2950,NA,5107743,5623.39,2661,0.47,98.8,0.684,"-",50996530.93,41389732.86,118731.1,"MT"
