"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
323,"Santa Cruz de Monte Castelo",56710,20,1200,2100,145,38,1340,682141,2600,NA,4123303,442.013,8613,19.49,98.7,0.71,"10.1",51318819.7,47527949.35,48684.56,"PR"
324,"Santa Fé",20713,NA,700,1500,260,70,650,2119100,1200,NA,4123402,276.241,11378,41.19,97.9,0.705,"9.26",78913196.9,64999093.01,25928.17,"PR"
325,"Santa Helena",29360,NA,293,341280,14597,345,3975,8448739,950000,NA,4123501,754.701,25492,33.78,99.4,0.744,"16.9",352488008.79,357299724.6,54197.49,"PR"
326,"Santa Inês",5207,NA,190,400,60,NA,450,372200,1050,NA,4123600,156.935,1748,11.14,100,0.717,"-",20798124.71,16035425.7,32841.43,"PR"
327,"Santa Isabel do Ivaí",41043,NA,1350,2805,232,55,600,229892,2290,NA,4123709,349.497,8912,25.5,100,0.72,"21.28",64538599.78,56464315.03,29837.51,"PR"
328,"Santa Izabel do Oeste",22923,NA,186,18500,1680,233,697,5261223,297900,395,4123808,321.182,14070,43.81,97.1,0.696,"14.08",103560758.78,84118738.34,31293.06,"PR"
329,"Santa Lúcia",10840,8,157,710,134,58,810,1609000,27900,297,4123824,126.813,3644,28.74,97.1,0.687,"-",39575472.87,31142160.03,36922.32,"PR"
330,"Santa Maria do Oeste",43600,55,820,2100,340,470,2400,59500,11300,NA,4123857,836.669,9934,11.87,95.5,0.609,"28.99",68562168.89,57277553.84,29026.17,"PR"
331,"Santa Mariana",3020,NA,240,507,NA,33,616,7740,2000,NA,4123907,427.193,11066,25.9,98.2,0.7,"14.39",68276837.17,59129893.69,42791.96,"PR"
332,"Santa Mônica",19319,NA,385,1230,122,22,900,244622,2400,NA,4123956,259.957,3356,12.91,99.7,0.704,"28.57",47077274.63,40768263.33,22463.39,"PR"
333,"Santa Tereza do Oeste",7942,NA,265,8459,696,13,789,921000,27350,310,4124020,326.19,13174,40.39,97.7,0.705,"-",87426522.79,80133717.02,57894.02,"PR"
334,"Santa Terezinha de Itaipu",4800,1,175,2720,12,233,1380,283000,12800,5025,4124053,268.258,24262,90.44,99.6,0.738,"25.27",174968778.73,142245901.9,28728.52,"PR"
335,"Santana do Itararé",15100,637,183,2649,458,44,104,14831,2264,NA,4124004,251.269,5514,21.94,97.5,0.687,"-",51297091.63,39685165.48,34909.63,"PR"
336,"Santo Antônio da Platina",68478,103,1090,1665,385,55,1087,1894125,135500,NA,4124103,721.472,44369,61.5,96.2,0.718,"8.76",173976164.47,159870874.9,32377.92,"PR"
337,"Santo Antônio do Caiuá",25568,NA,225,360,60,55,570,255300,410,NA,4124202,219.068,2493,11.38,98,0.696,"-",33424466.69,30816725.16,20707.25,"PR"
338,"Santo Antônio do Paraíso",3071,NA,94,46,NA,NA,30,258699,4000,NA,4124301,167.014,2125,12.72,97.7,0.716,"-",30519621.28,26093294.3,52081.94,"PR"
