"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
181,"Santo Antônio de Lisboa",2549,NA,35,1194,297,936,1067,13405,3349,NA,2209401,385.286,5839,15.15,93.5,0.584,"14.93",34313624.06,27539967.44,11111.78,"PI"
182,"Santo Antônio dos Milagres",264,NA,21,1351,257,507,231,8023,2012,NA,2209450,33.64,2138,63.56,97.5,0.619,"45.45",24277591.39,21696331.69,8310.8,"PI"
183,"Santo Inácio do Piauí",4692,NA,220,2614,443,7460,7243,12999,3226,NA,2209500,852.106,3646,4.28,99.3,0.613,"23.26",27723192.09,24569808.48,10600.47,"PI"
184,"São Braz do Piauí",1279,NA,240,2265,431,5116,5420,19272,6763,NA,2209559,656.042,4358,6.64,98.7,0.596,"-",30733646.11,26085701.99,8861.86,"PI"
185,"São Félix do Piauí",5886,NA,98,995,188,7615,8411,6134,1719,NA,2209609,627.033,2842,4.53,100,0.61,"58.82",29287637.53,23618297.58,10987.34,"PI"
186,"São Francisco de Assis do Piauí",4015,NA,383,2778,585,24737,19182,10125,2529,NA,2209658,1072.311,5572,5.2,96,0.485,"28.17",27876336.87,26100945.12,9575.04,"PI"
187,"São Francisco do Piauí",5876,NA,242,4846,724,13310,7712,26312,6921,NA,2209708,1341.451,5392,4.02,98.4,0.57,"12.5",32387512.42,29709351.78,9101.72,"PI"
188,"São Gonçalo do Gurguéia",6036,NA,174,1165,169,202,874,10659,3241,NA,2209757,1385.255,2947,2.13,97.4,0.56,"65.22",40933891.63,38013386.08,17781.61,"PI"
189,"São Gonçalo do Piauí",2441,NA,40,1832,329,954,407,13754,3425,NA,2209807,150.495,4837,32.14,97.7,0.616,"20",29406737.69,30373480.9,11247.99,"PI"
190,"São João da Canabrava",1150,NA,45,2098,483,2041,1625,6989,1885,NA,2209856,480.537,4242,8.83,96.8,0.559,"-",33517355.38,32159255.75,10677.94,"PI"
191,"São João da Fronteira",3295,NA,125,3248,680,7257,3481,7161,1736,NA,2209872,817.111,5522,6.76,88.3,0.515,"-",31613948.11,29235082.63,10013.9,"PI"
192,"São João da Serra",8330,NA,409,2415,362,18655,14176,16232,4065,NA,2209906,994.224,6114,6.15,99.1,0.582,"-",29587436.5,28309048.15,9781.02,"PI"
193,"São João da Varjota",1445,NA,61,2361,424,1039,712,9708,2554,NA,2209955,394.456,4383,11.11,96.9,0.559,"-",30019852.34,28254564.11,7546.96,"PI"
194,"São João do Arraial",2211,NA,59,6239,936,3634,183,21312,5931,NA,2209971,213.377,8186,38.36,98.4,0.523,"32.79",54636920.71,44679087.04,8439.67,"PI"
