"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
73,"Penedo",84950,25,9760,6195,750,1730,17250,357500,93450,4000,2706703,688.452,58650,85.19,94.6,0.63,"13.7",419114577.44,298533565.2,15371.47,"AL"
74,"Piaçabuçu",4250,NA,1500,1150,110,230,6000,30000,8000,500,2706802,243.686,15908,65.28,96.8,0.572,"12.15",99549126.57,101430877.3,25653.76,"AL"
75,"Pilar",10600,NA,182,320,6,45,435,3400,980,NA,2706901,259.614,35370,136.24,96.8,0.61,"6.88",341914179.24,360288606.6,19147.73,"AL"
76,"Pindoba",14600,NA,500,50,5,10,350,6800,3100,NA,2707008,117.086,2731,23.32,97.9,0.574,"-",38619413.03,35441991.52,20473.17,"AL"
77,"Piranhas",14446,18,650,1877,180,800,6860,23900,5000,NA,2707107,403.995,22609,55.96,92.8,0.589,"15.46",159263967.02,159080271,13584.64,"AL"
78,"Poço das Trincheiras",14345,NA,950,1204,120,1252,7250,25050,8000,220,2707206,284.26,12518,44.04,97,0.526,"20.41",88720699.08,107016032.8,8693.95,"AL"
79,"Porto Calvo",29500,20,1500,1000,95,500,3500,33000,8000,NA,2707305,313.231,24071,76.85,95.4,0.586,"2.75",144005532.86,168750279.8,15105.53,"AL"
80,"Porto de Pedras",8247,NA,500,600,44,200,800,20000,4000,NA,2707404,257.105,9295,36.15,97.2,0.541,"14.39",79772911.47,82571284.9,43738.21,"AL"
81,"Porto Real do Colégio",22000,NA,1100,1850,245,450,3500,1e+05,21000,2400,2707503,235.852,20082,85.15,94,0.551,"15.75",92164135.26,115489192.6,13337.96,"AL"
82,"Quebrangulo",28632,NA,1250,1500,115,20,1250,42000,8560,150,2707602,319.829,11080,34.64,96.5,0.559,"12.27",87321741.93,99939816.74,16876.56,"AL"
83,"Rio Largo",5600,NA,159,289,19,52,6890,8000,3000,NA,2707701,293.816,93927,319.68,96.6,0.643,"10.79",384590384.19,384512442.7,18806.12,"AL"
84,"Roteiro",591,NA,204,161,12,NA,211,3501,1051,NA,2707800,128.926,6474,50.21,96.3,0.505,"9.52",50173522.56,48573160.97,30769.1,"AL"
85,"Santa Luzia do Norte",700,NA,63,62,1,30,1120,2500,800,NA,2707909,28.857,6919,239.77,97.5,0.597,"17.09",57480968.09,58259515.62,37770.24,"AL"
86,"Santana do Ipanema",149245,NA,9930,17144,2003,11632,70070,270560,84360,2020,2708006,436.16,46220,105.97,95.7,0.591,"10.44",304307937.14,243574001,13489.5,"AL"
87,"Santana do Mundaú",20000,NA,3000,2400,300,450,3500,30000,8500,NA,2708105,232.169,11323,48.77,86.8,0.519,"6.67",83184309.08,82809217.3,132421.08,"AL"
88,"São Brás",8000,55,480,4500,500,500,850,19000,3500,1000,2708204,139.038,6555,47.15,93.9,0.572,"10.53",61583328.4,48861795.51,18535.41,"AL"
89,"São José da Laje",15117,NA,1000,1100,80,500,2650,15000,4000,NA,2708303,256.603,20813,81.11,92.8,0.573,"18.63",137618820.6,132412108.1,24433.4,"AL"
90,"São José da Tapera",26400,NA,2000,2500,400,610,10000,50000,11900,NA,2708402,490.879,30604,62.35,96.6,0.527,"9.31",158274134.75,229008573.1,10251.63,"AL"
91,"São Luís do Quitunde",14500,530,1500,1400,110,220,3500,30000,9500,45000,2708501,397.257,30873,77.72,90.4,0.536,"8.83",127780688.73,120458135.9,27097.07,"AL"
92,"São Miguel dos Campos",66454,3,4142,7926,760,2281,14335,314108,81155,21853,2708600,335.683,51990,154.88,96.6,0.623,"7.65",317541100.02,429571914.8,22027.55,"AL"
93,"São Miguel dos Milagres",3500,NA,700,450,40,300,800,5900,2540,NA,2708709,76.731,8482,110.54,97,0.591,"22.56",66759339.56,65466346.07,30158.25,"AL"
94,"São Sebastião",22500,NA,2000,5400,540,290,2100,180000,150000,NA,2708808,314.924,31786,100.93,95.4,0.549,"4.09",156212495.89,157965509.6,24947.59,"AL"
95,"Satuba",2600,NA,103,189,26,51,382,3000,900,NA,2708907,41.268,24278,588.3,91,0.66,"22.8",71827118.44,78061028.41,18584.75,"AL"
96,"Senador Rui Palmeira",18000,NA,1100,2050,155,510,10000,33000,10000,NA,2708956,338.569,12303,36.34,97.6,0.518,"5.71",87275812.01,94495799.57,8721.59,"AL"
97,"Tanque d'Arca",13000,NA,646,936,50,450,1350,10000,3555,NA,2709004,124.617,5796,46.51,97.5,0.555,"20.41",52022671.19,54252287.64,15070.53,"AL"
98,"Taquarana",17200,NA,3000,7250,650,600,9500,50000,15000,5000,2709103,153.841,19032,123.71,97.7,0.541,"10.75",127625304.97,138087288.9,25335.01,"AL"
99,"Teotônio Vilela",8661,NA,356,2651,250,321,655,60001,15500,NA,2709152,299.221,38053,127.17,96.9,0.564,"12.22",285772514.93,281249767.5,30461.61,"AL"
100,"Traipu",51950,55,930,7521,825,620,4450,69000,15500,1000,2709202,681.577,23565,34.57,95.2,0.532,"17.34",142065953.93,160775720.4,10630.43,"AL"
101,"União dos Palmares",37000,240,3500,6500,645,3200,8400,378000,307800,NA,2709301,420.376,59280,141.02,96.2,0.593,"16.45",265854142.42,349736432.5,21467.05,"AL"
102,"Viçosa",38400,NA,2490,10500,900,45,1900,1100000,9000,1010,2709400,367.888,24092,65.49,94.4,0.586,"6.1",124803237.75,134321174.4,23158.1,"AL"
